,time,close,SMA
980,2024-12-08 09:00:00,99945.58,99921.239
981,2024-12-08 09:30:00,99770.67,99871.02699999999
982,2024-12-08 10:00:00,99525.96,99809.918
983,2024-12-08 10:30:00,99064.53,99710.628
984,2024-12-08 11:00:00,99383.84,99655.189
985,2024-12-08 11:30:00,98956.02,99563.36600000001
986,2024-12-08 12:00:00,99421.67,99536.481
987,2024-12-08 12:30:00,99320.22,99502.80600000001
988,2024-12-08 13:00:00,99636.06,99480.006
989,2024-12-08 13:30:00,99814.8,99483.93500000001
990,2024-12-08 14:00:00,99891.68,99478.545
991,2024-12-08 14:30:00,100065.08,99507.986
992,2024-12-08 15:00:00,100370.27,99592.41699999999
993,2024-12-08 15:30:00,100508.89,99736.85299999999
994,2024-12-08 16:00:00,100153.14,99813.783
995,2024-12-08 16:30:00,99853.42,99903.523
996,2024-12-08 17:00:00,99782.95,99939.651
997,2024-12-08 17:30:00,100004.99,100008.128
998,2024-12-08 18:00:00,99895.01,100034.023
999,2024-12-08 18:30:00,99829.91,100035.534
